Galaxy,Regime,mond_sigma_baseline,mond_n_inner,mond_max_abs_ds,V_bar_over_V_MOND,nfw_max_abs_ds,nfw_sigma_baseline,nfw_n_inner,h2_delta_sigma_harmonized,h2_sigma_baseline,h2_n_inner,reconstruction_status,h2_abs_delta_sigma
D564-8,balanced,0.193877,3,0.033628,0.3392,0.092089,0.172726,3,,,3,H2_file_missing,
DDO064,baryon-dom,0.096265,8,0.043772,0.4165,0.088457,0.115872,8,,,8,H2_file_missing,
DDO154,DM-dom,0.058132,5,0.026451,0.3864,0.072236,0.095158,5,,,5,H2_file_missing,
DDO161,baryon-dom,0.151803,16,0.027822,0.4468,0.079877,0.163286,16,,,16,H2_file_missing,
DDO170,balanced,0.124902,3,0.035868,0.4328,0.087491,0.108757,3,,,3,H2_file_missing,
F563-1,DM-dom,0.135478,10,0.03011,0.436,0.066594,0.122003,10,,,10,H2_file_missing,
F565-V2,DM-dom,0.063105,3,0.015149,0.3935,0.090765,0.149665,3,,,3,H2_file_missing,
F568-3,balanced,0.10649,12,0.009043,0.4526,0.030718,0.119716,12,,,12,H2_file_missing,
F568-V1,DM-dom,0.103386,11,0.038993,0.5134,0.050535,0.095079,11,,,11,H2_file_missing,
F571-8,balanced,0.164784,10,0.025908,0.5157,0.038654,0.274651,10,,,10,H2_file_missing,
F583-1,balanced,0.12627,22,0.017761,0.4213,0.054085,0.135451,22,,,22,H2_file_missing,
IC2574,baryon-dom,0.040569,15,0.022267,0.2796,0.037556,0.073247,15,0.001085,0.222809,15,exact,0.001085
KK98-251,balanced,0.242037,8,0.029684,0.3789,0.089493,0.204918,8,,,8,H2_file_missing,
NGC0024,baryon-dom,0.056158,25,0.028555,0.7369,0.03345,0.068209,25,,,25,H2_file_missing,
NGC0100,baryon-dom,0.095047,11,0.016108,0.4896,0.061924,0.181018,11,,,11,H2_file_missing,
NGC0247,DM-dom,0.048761,12,0.033702,0.5366,0.075462,0.035461,12,,,12,H2_file_missing,
NGC0891,baryon-dom,0.048239,8,0.017972,0.8777,0.023597,0.201956,8,0.000153,0.115359,8,exact,0.000153
NGC1003,baryon-dom,0.031389,17,0.028505,0.4967,0.056269,0.065942,17,,,17,H2_file_missing,
NGC1090,balanced,0.147035,12,0.033231,0.7649,0.033011,0.173568,12,,,12,H2_file_missing,
NGC2403,DM-dom,0.023102,52,0.037009,0.7195,0.065653,0.13015,52,,,52,H2_file_missing,
NGC2903,baryon-dom,0.145614,20,0.031125,0.8421,0.026495,0.250173,20,0.000234,0.298877,20,exact,0.000234
NGC2955,DM-dom,0.027783,18,0.014398,0.879,0.0253,0.115898,18,,,18,H2_file_missing,
NGC2976,baryon-dom,0.110903,15,0.026144,0.6062,0.030732,0.147594,15,,,15,H2_file_missing,
NGC2998,baryon-dom,0.113524,8,0.020703,0.8517,0.00669,0.097459,8,,,8,H2_file_missing,
NGC3198,baryon-dom,0.120949,31,0.032124,0.742,0.042804,0.14782,31,0.002631,0.510502,31,exact,0.002631
NGC3521,baryon-dom,0.024266,37,0.045619,0.8974,0.015225,0.122433,37,,,37,H2_file_missing,
NGC3726,baryon-dom,0.073806,8,0.040333,0.6973,0.036891,0.134397,8,,,8,H2_file_missing,
NGC3769,baryon-dom,0.036009,9,0.031712,0.5783,0.048212,0.106919,9,,,9,H2_file_missing,
NGC3893,baryon-dom,0.024285,5,0.040198,0.8035,0.028125,0.112579,5,0.000357,0.181185,5,exact,0.000357
NGC3953,baryon-dom,0.002718,3,0.047244,0.8372,0.02324,0.074224,3,,,3,H2_file_missing,
NGC3992,baryon-dom,0.02285,4,0.032118,0.7661,0.052452,0.05632,4,,,4,H2_file_missing,
NGC4085,baryon-dom,0.139787,3,0.031873,0.7865,0.023159,0.280553,3,,,3,H2_file_missing,
NGC4088,baryon-dom,0.067373,6,0.039508,0.8016,0.021033,0.190425,6,,,6,H2_file_missing,
NGC4100,balanced,0.037689,11,0.036107,0.8037,0.040898,0.067458,11,,,11,H2_file_missing,
NGC4183,balanced,0.048347,12,0.033759,0.6089,0.071951,0.050665,12,,,12,H2_file_missing,
NGC4214,baryon-dom,0.121771,7,0.038131,0.6605,0.028483,0.07585,7,,,7,H2_file_missing,
NGC4559,balanced,0.073587,16,0.044724,0.6696,0.047394,0.126984,16,,,16,H2_file_missing,
NGC5033,baryon-dom,0.059777,12,0.031573,0.8172,0.042991,0.116293,12,,,12,H2_file_missing,
NGC5055,balanced,0.072196,18,0.046882,0.8552,0.025559,0.160641,18,0.001655,0.359313,18,exact,0.001655
NGC5585,baryon-dom,0.046955,15,0.028187,0.5287,0.044845,0.132057,15,0.000324,0.288121,15,exact,0.000324
NGC6503,balanced,0.029415,15,0.035593,0.6025,0.0548,0.085545,15,0.003237,0.280942,15,exact,0.003237
NGC6946,baryon-dom,0.067923,29,0.033351,0.8374,0.025022,0.124837,29,0.00049,0.148361,29,exact,0.00049
NGC7793,baryon-dom,0.095261,36,0.021714,0.7645,0.021617,0.129667,36,,,36,H2_file_missing,
UGC00191,balanced,0.074749,7,0.034095,0.6221,0.069297,0.064191,7,,,7,H2_file_missing,
UGC00731,balanced,0.02287,6,0.032743,0.4357,0.110466,0.018165,6,,,6,H2_file_missing,
UGC02259,balanced,0.06141,3,0.042701,0.5923,0.094497,0.017697,3,,,3,H2_file_missing,
UGC02916,balanced,0.08817,36,0.015364,0.8758,0.034896,0.12181,36,,,36,H2_file_missing,
UGC03580,balanced,0.09707,39,0.01677,0.67,0.039405,0.207952,39,,,39,H2_file_missing,
UGC04278,balanced,0.076035,12,0.033017,0.4535,0.073612,0.124689,12,,,12,H2_file_missing,
UGC05005,DM-dom,0.132152,7,0.036567,0.4378,0.074338,0.160395,7,,,7,H2_file_missing,
UGC05716,balanced,0.066594,5,0.043064,0.5207,0.088903,0.009937,5,,,5,H2_file_missing,
UGC05918,balanced,0.037199,3,0.037025,0.357,0.101582,0.090241,3,,,3,H2_file_missing,
UGC06399,DM-dom,0.053143,4,0.021822,0.5044,0.07679,0.111673,4,,,4,H2_file_missing,
UGC06628,baryon-dom,0.172124,3,0.045892,0.5052,0.083856,0.246044,3,,,3,H2_file_missing,
UGC06818,baryon-dom,0.156758,3,0.045497,0.4822,0.065672,0.238113,3,,,3,H2_file_missing,
UGC06917,balanced,0.029798,4,0.027622,0.5865,0.063281,0.069034,4,,,4,H2_file_missing,
UGC06930,balanced,0.042834,4,0.027596,0.5739,0.065334,0.071096,4,,,4,H2_file_missing,
UGC06983,balanced,0.045081,7,0.017247,0.5815,0.065177,0.061168,7,,,7,H2_file_missing,
UGC07089,baryon-dom,0.099211,5,0.042009,0.4862,0.069891,0.142713,5,,,5,H2_file_missing,
UGC07151,baryon-dom,0.050049,5,0.022164,0.5839,0.047856,0.073083,5,,,5,H2_file_missing,
UGC07261,baryon-dom,0.049181,3,0.033243,0.5596,0.064227,0.044167,3,,,3,H2_file_missing,
UGC07323,balanced,0.069714,4,0.046284,0.5353,0.063262,0.124191,4,,,4,H2_file_missing,
UGC07577,baryon-dom,0.302955,4,0.046718,0.0,0.082301,0.292692,4,,,4,H2_file_missing,
UGC07603,baryon-dom,0.069642,6,0.028936,0.5141,0.054845,0.085426,6,,,6,H2_file_missing,
UGC07608,balanced,0.099929,4,0.011778,0.398,0.063221,0.125174,4,,,4,H2_file_missing,
UGC08286,DM-dom,0.048689,8,0.021765,0.5824,0.070019,0.079364,8,,,8,H2_file_missing,
UGC08550,balanced,0.023483,5,0.030321,0.5456,0.068656,0.027561,5,,,5,H2_file_missing,
UGC09037,baryon-dom,0.054519,10,0.024713,0.6071,0.038346,0.214639,10,,,10,H2_file_missing,
UGC11557,baryon-dom,0.386134,7,0.039253,0.6114,0.045577,0.448718,7,,,7,H2_file_missing,
UGC11820,balanced,0.077076,6,0.032283,0.5537,0.043683,0.053818,6,,,6,H2_file_missing,
UGC11914,balanced,0.151942,42,0.016168,0.9354,0.017364,0.060247,42,,,42,H2_file_missing,
UGC12632,baryon-dom,0.063121,7,0.0387,0.5001,0.091687,0.079245,7,,,7,H2_file_missing,
UGC12732,baryon-dom,0.042849,8,0.037533,0.5073,0.077862,0.01713,8,,,8,H2_file_missing,
UGCA444,balanced,0.075372,17,0.011382,0.4164,0.092624,0.055047,17,,,17,H2_file_missing,
