R_kpc,V_obs_kms,V_err_kms,V_H1_kms,V_H2_kms
0.32,24.4,35.9,246.4871,248.7435
0.64,43.3,16.3,246.4871,248.7435
0.96,45.5,16.1,255.7762,258.022
1.28,58.5,15.4,275.3493,277.5727
1.61,68.8,7.61,295.5341,297.7345
1.93,76.9,10.3,315.1073,317.2852
2.24,82.0,8.09,334.0687,336.225
2.57,86.9,7.6,348.5969,350.6776
2.89,97.6,3.03,355.738,357.6807
3.21,100.0,5.31,362.8791,364.6839
3.54,107.0,7.51,370.2433,371.9058
3.85,113.0,7.32,377.1612,378.6901
4.17,117.0,5.21,381.3512,382.8713
4.5,119.0,5.67,381.1854,382.8929
4.82,127.0,5.39,381.0247,382.9139
5.15,132.0,4.34,380.859,382.9355
5.46,134.0,2.36,380.7033,382.9558
5.78,137.0,0.89,379.2645,381.6457
6.1,140.0,2.84,375.7803,378.2058
6.43,142.0,0.88,372.1873,374.6583
6.74,144.0,1.23,368.812,371.3259
7.06,146.0,1.57,365.3279,367.8859
8.04,147.0,3.0,349.8164,352.2907
9.04,148.0,3.0,333.2118,335.537
10.04,152.0,2.0,319.976,322.1433
11.04,155.0,2.0,306.2149,308.241
12.05,156.0,2.0,291.8538,293.7519
14.05,157.0,2.0,263.747,265.4032
16.07,153.0,2.0,238.1256,239.4977
18.13,153.0,2.0,213.8849,215.0412
20.05,154.0,2.0,197.1063,198.1253
22.12,153.0,2.0,180.3541,181.226
24.03,150.0,2.0,165.9321,166.6834
26.1,149.0,2.0,153.234,153.8683
28.16,148.0,2.0,145.3132,145.8256
30.08,146.0,2.0,136.5966,137.054
32.14,147.0,2.0,128.0875,128.4345
34.06,148.0,2.0,125.5198,125.7424
36.12,148.0,2.0,115.0156,115.0959
38.19,149.0,2.0,114.9868,115.0638
40.1,150.0,2.0,108.3374,108.2031
42.17,150.0,3.0,108.6951,108.5399
44.08,149.0,3.0,100.6547,100.5878
